z_p,offset,phi_deg,rho,eta,N,axis,pool,sigma_cov,sigma_cov_strip,sigma_rad,sigma_tan,sigma_emp,err_mean,pull_mean,pull_std,corr_t_zp,cx_true,cy_true,cx_fit,cy_fit,cx_fit_std,cy_fit_std
0,150,90,0,0,100,x,3266,0.39545,0.136988,0.402021,0.39545,0.354965,0.0160215,0.0410318,0.89988,-0.0164002,495,645,495.016,644.636,0.354965,0.374305
0,150,90,0,0,100,y,3266,0.402021,0.139264,0.402021,0.39545,0.374305,-0.364258,-0.904559,0.922889,-0.193963,495,645,495.016,644.636,0.354965,0.374305
0,150,90,0,0,100,z,3266,0.871743,0.301981,0.402021,0.39545,0.800161,0.77228,0.895357,0.919925,1,495,645,495.016,644.636,0.354965,0.374305
0,150,90,0,0,300,x,3266,0.227538,0.0788214,0.232113,0.227538,0.214814,0.0135571,0.0597438,0.943109,-0.017476,495,645,495.014,644.543,0.214814,0.234874
0,150,90,0,0,300,y,3266,0.232113,0.0804062,0.232113,0.227538,0.234874,-0.457144,-1.97113,1.01374,-0.214887,495,645,495.014,644.543,0.214814,0.234874
0,150,90,0,0,300,z,3266,0.497972,0.172503,0.232113,0.227538,0.493307,0.357968,0.722806,0.996834,1,495,645,495.014,644.543,0.214814,0.234874
0,300,0,0,0,30,x,2966,0.825504,0.285963,0.825504,0.731539,0.794434,-0.465188,-0.574369,0.962153,-0.47553,795,495,794.535,494.675,0.794434,0.947462
0,300,0,0,0,30,y,2966,0.731539,0.253413,0.825504,0.731539,0.947462,-0.324775,-0.44577,1.29672,0.0103913,795,495,794.535,494.675,0.794434,0.947462
0,300,0,0,0,30,z,2966,1.62014,0.561234,0.825504,0.731539,2.16292,0.233963,0.14705,1.34716,1,795,495,794.535,494.675,0.794434,0.947462
0,300,0,0,0,100,x,2966,0.43794,0.151707,0.43794,0.395651,0.633318,-0.354983,-0.823923,1.45114,-0.43767,795,495,794.645,494.441,0.633318,0.564206
0,300,0,0,0,100,y,2966,0.395651,0.137057,0.43794,0.395651,0.564206,-0.559242,-1.41166,1.42406,-0.00715148,795,495,794.645,494.441,0.633318,0.564206
0,300,0,0,0,100,z,2966,0.857074,0.296899,0.43794,0.395651,0.681108,0.250765,0.299821,0.791522,1,795,495,794.645,494.441,0.633318,0.564206
0,300,0,0,0,300,x,2966,0.254183,0.0880516,0.254183,0.227027,0.225024,-0.388627,-1.53351,0.89461,-0.451047,795,495,794.611,494.576,0.225024,0.231701
0,300,0,0,0,300,y,2966,0.227027,0.0786444,0.254183,0.227027,0.231701,-0.424204,-1.86815,1.0206,0.013161,795,495,794.611,494.576,0.225024,0.231701
0,300,0,0,0,300,z,2966,0.490564,0.169936,0.254183,0.227027,0.465618,0.465015,0.951299,0.9481,1,795,495,794.611,494.576,0.225024,0.231701
0,300,45,0,0,30,x,2959,0.762923,0.264284,0.803312,0.728705,0.895394,-0.21525,-0.287,1.17487,-0.303789,707.132,707.132,706.917,706.868,0.895394,0.819824
0,300,45,0,0,30,y,2959,0.770674,0.266969,0.803312,0.728705,0.819824,-0.26367,-0.340367,1.04637,-0.331396,707.132,707.132,706.917,706.868,0.895394,0.819824
0,300,45,0,0,30,z,2959,1.60275,0.555209,0.803312,0.728705,1.57945,0.377045,0.239318,0.996891,1,707.132,707.132,706.917,706.868,0.895394,0.819824
0,300,45,0,0,100,x,2959,0.416428,0.144255,0.437268,0.395204,0.539743,-0.258051,-0.62367,1.29689,-0.319524,707.132,707.132,706.874,707.001,0.539743,0.335364
0,300,45,0,0,100,y,2959,0.41715,0.144505,0.437268,0.395204,0.335364,-0.13088,-0.313873,0.799136,-0.326436,707.132,707.132,706.874,707.001,0.539743,0.335364
0,300,45,0,0,100,z,2959,0.861648,0.298483,0.437268,0.395204,0.933965,0.475321,0.561832,1.0991,1,707.132,707.132,706.874,707.001,0.539743,0.335364
0,300,45,0,0,300,x,2959,0.241663,0.0837146,0.254789,0.227604,0.3362,-0.227225,-0.945553,1.39355,-0.340127,707.132,707.132,706.905,706.954,0.3362,0.234456
0,300,45,0,0,300,y,2959,0.241483,0.083652,0.254789,0.227604,0.234456,-0.17789,-0.735468,0.969774,-0.340663,707.132,707.132,706.905,706.954,0.3362,0.234456
0,300,45,0,0,300,z,2959,0.503006,0.174247,0.254789,0.227604,0.435823,0.346641,0.68909,0.865752,1,707.132,707.132,706.905,706.954,0.3362,0.234456
0,300,90,0,0,30,x,2971,0.733425,0.254066,0.80494,0.733425,0.941604,0.0772006,0.101405,1.28798,0.00486337,495,795,495.077,794.603,0.941604,0.850856
0,300,90,0,0,30,y,2971,0.80494,0.278839,0.80494,0.733425,0.850856,-0.396989,-0.493419,1.05934,-0.430918,495,795,495.077,794.603,0.941604,0.850856
0,300,90,0,0,30,z,2971,1.58097,0.547662,0.80494,0.733425,1.77363,0.566121,0.346681,1.06608,1,495,795,495.077,794.603,0.941604,0.850856
0,300,90,0,0,100,x,2971,0.396921,0.137497,0.435592,0.396921,0.447952,-0.153032,-0.390963,1.13084,-0.0286378,495,795,494.847,794.548,0.447952,0.419477
