z_p,offset,phi_deg,rho,eta,axis,sigma_eff,sigma_eff_strip,target_sigma,N_required
1000,0,0,1.25,0,y,5.93626,2.05638,0.3,391.546
1000,0,0,1.25,0,y,5.93626,2.05638,1,35.2392
1000,0,0,1.25,0,z,11.9261,4.13133,0.3,1580.36
1000,0,0,1.25,0,z,11.9261,4.13133,1,142.232
1000,150,0,1.25,0.121212,x,8.34758,2.89169,0.3,774.245
1000,150,0,1.25,0.121212,x,8.34758,2.89169,1,69.682
1000,150,0,1.25,0.121212,y,5.79491,2.00742,0.3,373.123
1000,150,0,1.25,0.121212,y,5.79491,2.00742,1,33.581
1000,150,0,1.25,0.121212,z,12.3228,4.26874,0.3,1687.24
1000,150,0,1.25,0.121212,z,12.3228,4.26874,1,151.851
1000,150,45,1.25,0.121212,x,8.12145,2.81335,0.3,732.866
1000,150,45,1.25,0.121212,x,8.12145,2.81335,1,65.9579
1000,150,45,1.25,0.121212,y,5.91976,2.05067,0.3,389.373
1000,150,45,1.25,0.121212,y,5.91976,2.05067,1,35.0436
1000,150,45,1.25,0.121212,z,11.942,4.13685,0.3,1584.58
1000,150,45,1.25,0.121212,z,11.942,4.13685,1,142.612
1000,150,90,1.25,0.121212,x,8.01638,2.77696,0.3,714.027
1000,150,90,1.25,0.121212,x,8.01638,2.77696,1,64.2624
1000,150,90,1.25,0.121212,y,5.87869,2.03644,0.3,383.989
1000,150,90,1.25,0.121212,y,5.87869,2.03644,1,34.559
1000,150,90,1.25,0.121212,z,12.1299,4.20192,0.3,1634.82
1000,150,90,1.25,0.121212,z,12.1299,4.20192,1,147.134
1000,300,0,1.25,0.242424,x,8.85174,3.06633,0.3,870.593
1000,300,0,1.25,0.242424,x,8.85174,3.06633,1,78.3534
1000,300,0,1.25,0.242424,y,5.67565,1.9661,0.3,357.922
1000,300,0,1.25,0.242424,y,5.67565,1.9661,1,32.213
1000,300,0,1.25,0.242424,z,11.9789,4.1496,0.3,1594.37
1000,300,0,1.25,0.242424,z,11.9789,4.1496,1,143.493
1000,300,45,1.25,0.242424,x,8.14292,2.82079,0.3,736.746
1000,300,45,1.25,0.242424,x,8.14292,2.82079,1,66.3071
